Room Id,Arrival Date,Assigned Room Type,Country,Customer Type,Deposit Type,Distribution Channel,Hotel,Is Canceled,Market Segment,Meal,Reservation Status,Reservation Status Date,Reserved Room Type,Adr,Adults,Agent,Babies,Booking Changes,Children,Company,Days In Waiting List,Is Repeated Guest,Lead Time,Previous Bookings Not Canceled,Previous Cancellations,Required Car Parking Spaces,Stays In Week Nights,Stays In Weekend Nights,Total days,Rev
id_00000001,03-09-2015,A,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Offline TA/TO,BB,Check-Out,10-09-2015,A,90.51,2,13,0,0,0,,0,0,28,0,0,0,5,2,7,633.57
id_00000002,26-09-2015,D,GRC,Contract,No Deposit,TA/TO,City Hotel,0,Offline TA/TO,BB,Check-Out,30-09-2015,A,129.2,2,13,0,0,0,,0,0,65,0,0,0,2,2,4,516.8
id_00000003,16-10-2015,A,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Offline TA/TO,BB,Check-Out,19-10-2015,D,97.92,2,83,0,0,0,,0,0,36,0,0,0,2,1,3,293.76
id_00000004,08-08-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,09-08-2015,A,80,1,9,0,0,0,,0,0,1,0,0,0,1,0,1,80
id_00000005,17-08-2015,A,Germany,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,20-08-2015,A,117.33,1,9,0,0,0,,0,0,3,0,0,0,2,1,3,351.99
id_00000006,23-08-2015,A,UKR,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,24-08-2015,A,80,1,9,0,0,0,,0,0,0,0,0,0,0,1,1,80
id_00000007,29-08-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,01-09-2015,A,96,1,9,0,0,0,,0,0,1,0,0,0,1,2,3,288
id_00000008,12-08-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,15-08-2015,A,138,2,9,0,0,0,,0,0,0,0,0,0,3,0,3,414
id_00000009,13-08-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,16-08-2015,A,148.67,2,9,0,0,0,,0,0,0,0,0,0,3,0,3,446.01
id_00000010,10-08-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,11-08-2015,A,96,2,9,0,0,0,,0,0,1,0,0,0,0,1,1,96
id_00000011,10-08-2015,A,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,14-08-2015,A,105,2,9,0,0,0,,0,0,1,0,0,0,3,1,4,420
id_00000012,10-08-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,14-08-2015,A,89,2,9,0,0,0,,0,0,1,0,0,0,3,1,4,356
id_00000013,21-08-2015,A,POL,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,24-08-2015,A,90,2,9,0,0,0,,0,0,11,0,0,0,2,1,3,270
id_00000014,31-08-2015,A,Belgium,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,05-09-2015,A,102,2,9,0,0,0,,0,0,19,0,0,0,4,1,5,510
id_00000015,10-08-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,11-08-2015,A,105,2,9,0,1,0,,0,0,1,0,0,0,0,1,1,105
id_00000016,19-08-2015,A,Belgium,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,26-08-2015,A,99.14,2,9,0,0,0,,0,0,2,0,0,0,5,2,7,693.98
id_00000017,12-08-2015,D,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,15-08-2015,A,138,2,9,0,0,0,,0,0,0,0,0,0,3,0,3,414
id_00000018,17-08-2015,D,ROU,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,18-08-2015,A,138,2,9,0,0,0,,0,0,0,0,0,0,0,1,1,138
id_00000019,24-08-2015,D,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,27-08-2015,A,90,2,9,0,0,0,,0,0,6,0,0,0,2,1,3,270
id_00000020,11-08-2015,E,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,14-08-2015,A,124,2,9,0,1,0,,0,0,0,0,0,0,3,0,3,372
id_00000021,18-08-2015,E,AGO,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,30-08-2015,A,99.33,2,9,0,0,0,,0,0,4,0,0,0,10,2,12,1191.96
id_00000022,28-12-2015,A,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,30-12-2015,A,106,2,9,0,0,0,,0,0,55,0,0,0,1,1,2,212
id_00000023,04-12-2015,D,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,07-12-2015,A,118.67,1,9,0,0,0,,0,0,18,0,0,0,2,1,3,356.01
id_00000024,03-11-2015,A,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,04-11-2015,A,101,1,9,0,0,0,,0,0,0,0,0,0,1,0,1,101
id_00000025,17-11-2015,A,Belgium,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,18-11-2015,A,91,1,9,0,0,0,,0,0,1,0,0,0,1,0,1,91
id_00000026,13-11-2015,A,Germany,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,16-11-2015,A,91,1,9,0,0,0,,0,0,2,0,0,0,2,1,3,273
id_00000027,10-11-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,14-11-2015,A,90.95,2,9,0,0,0,,0,0,39,0,0,0,4,0,4,363.8
id_00000028,18-11-2015,A,Germany,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,20-11-2015,A,107,2,9,0,0,0,,0,0,2,0,0,0,2,0,2,214
id_00000029,21-11-2015,A,Brazil,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,22-11-2015,A,72.25,2,9,0,0,0,,0,0,82,0,0,0,1,0,1,72.25
id_00000030,13-11-2015,A,Germany,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,15-11-2015,A,12,2,9,0,1,0,,0,0,10,0,0,0,2,0,2,24
id_00000031,03-10-2015,A,SWE,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,05-10-2015,A,158,1,9,0,0,0,,0,0,5,0,0,0,1,1,2,316
id_00000032,12-10-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,15-10-2015,A,126,1,9,0,0,0,,0,0,19,0,0,0,2,1,3,378
id_00000033,19-10-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,20-10-2015,A,139,1,9,0,0,0,,0,0,3,0,0,0,0,1,1,139
id_00000034,18-10-2015,A,Great Britain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,20-10-2015,A,120,1,9,0,1,0,,0,0,13,0,0,0,0,2,2,240
id_00000035,01-10-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,02-10-2015,A,126,2,9,0,0,0,,0,0,0,0,0,0,1,0,1,126
id_00000036,01-10-2015,A,Brazil,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,03-10-2015,A,103.05,2,9,0,0,0,,0,0,41,0,0,0,2,0,2,206.1
id_00000037,01-10-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,03-10-2015,A,107,2,9,0,0,0,,0,0,16,0,0,0,2,0,2,214
id_00000038,01-10-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,04-10-2015,A,138.67,2,9,0,0,0,,0,0,0,0,0,0,3,0,3,416.01
id_00000039,06-10-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,09-10-2015,A,151.33,2,9,0,0,0,,0,0,5,0,0,0,3,0,3,453.99
id_00000040,21-10-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,22-10-2015,A,145,2,9,0,0,0,,0,0,0,0,0,0,1,0,1,145
id_00000041,24-10-2015,A,Great Britain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,25-10-2015,A,96.3,2,9,0,0,0,,0,0,40,0,0,0,1,0,1,96.3
id_00000042,09-10-2015,A,Great Britain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,12-10-2015,A,94.5,2,9,0,0,0,,0,0,53,0,0,0,2,1,3,283.5
id_00000043,12-10-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,14-10-2015,A,126,2,9,0,0,0,,0,0,0,0,0,0,1,1,2,252
id_00000044,02-10-2015,A,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,06-10-2015,A,109.35,2,9,0,0,0,,0,0,30,0,0,0,2,2,4,437.4
id_00000045,04-10-2015,A,Germany,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,07-10-2015,A,107,2,9,0,0,0,,0,0,20,0,0,0,1,2,3,321
id_00000046,04-10-2015,A,France,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,10-10-2015,A,107,2,9,0,0,0,,0,0,20,0,0,0,4,2,6,642
id_00000047,18-10-2015,A,Netherland,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,20-10-2015,A,96.3,2,9,0,0,0,,0,0,31,0,0,0,0,2,2,192.6
id_00000048,25-10-2015,A,Netherland,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,31-10-2015,A,89.25,2,9,0,0,0,,0,0,90,0,0,0,4,2,6,535.5
id_00000049,07-10-2015,B,Belgium,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,10-10-2015,A,100.2,2,9,0,0,0,,0,0,34,0,0,0,3,0,3,300.6
id_00000050,16-10-2015,D,CHE,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,19-10-2015,A,108.9,2,9,0,0,0,,0,0,35,0,0,0,2,1,3,326.7
id_00000051,07-10-2015,E,Belgium,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,10-10-2015,A,158,1,9,0,0,0,,0,0,8,0,0,0,3,0,3,474
id_00000052,07-10-2015,E,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,10-10-2015,A,145,2,9,0,0,0,,0,0,9,0,0,0,3,0,3,435
id_00000053,17-09-2015,A,CZE,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,19-09-2015,A,104.5,1,9,0,0,0,,0,0,23,0,0,0,2,0,2,209
id_00000054,18-09-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,19-09-2015,A,114,1,9,0,0,0,,0,0,22,0,0,0,1,0,1,114
id_00000055,07-09-2015,A,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,11-09-2015,A,123.5,1,9,0,0,0,,0,0,18,0,0,0,3,1,4,494
id_00000056,01-09-2015,A,Portugal,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,02-09-2015,A,105,2,9,0,0,0,,0,0,1,0,0,0,1,0,1,105
id_00000057,03-09-2015,A,Italy,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,04-09-2015,A,105,2,9,0,0,0,,0,0,1,0,0,0,1,0,1,105
id_00000058,03-09-2015,A,Belgium,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,05-09-2015,A,114.5,2,9,0,0,0,,0,0,3,0,0,0,2,0,2,229
id_00000059,03-09-2015,A,SWE,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,05-09-2015,A,105,2,9,0,0,0,,0,0,21,0,0,0,2,0,2,210
id_00000060,03-09-2015,A,Spain,Contract,No Deposit,TA/TO,City Hotel,0,Online TA,BB,Check-Out,06-09-2015,A,130.33,2,9,0,0,0,,0,0,1,0,0,0,3,0,3,390.99
